date,bet_type,home,away,team_abbrev,americanOdds,decimalOdds,stakePCT,wagerPCT,PLUS_MINUS,Total,spread,WIN-LOSS-PUSH
2023-11-06,SPREAD,IND,SAS,IND,-115.0,1.87,7.96,7.26,41.0,263.0,-8.5,1.0
2023-11-06,SPREAD,ORL,DAL,DAL,100.0,2.0,53.62,46.69,15.0,219.0,-1.5,1.0
2023-11-06,SPREAD,ORL,DAL,ORL,-120.0,1.83,46.38,53.31,-15.0,219.0,1.5,0.0
2023-11-06,SPREAD,PHI,WAS,WAS,-115.0,1.87,54.81,51.22,-18.0,274.0,11.5,0.0
2023-11-06,SPREAD,PHI,WAS,PHI,-105.0,1.95,45.19,48.78,18.0,274.0,-11.5,1.0
2023-11-06,SPREAD,MIA,LAL,LAL,-105.0,1.95,33.09,32.25,-1.0,215.0,1.5,1.0
2023-11-06,SPREAD,MIA,LAL,MIA,-115.0,1.87,66.91,67.75,1.0,215.0,-1.5,0.0
2023-11-06,SPREAD,BKN,MIL,MIL,-110.0,1.91,12.29,9.94,4.0,254.0,-4.5,0.0
2023-11-06,SPREAD,BKN,MIL,BKN,-110.0,1.91,87.71,90.06,-4.0,254.0,4.5,1.0
2023-11-06,SPREAD,NYK,LAC,LAC,-110.0,1.91,78.68,82.17,-14.0,208.0,1.5,0.0
2023-11-06,SPREAD,NYK,LAC,NYK,-110.0,1.91,21.32,17.83,14.0,208.0,-1.5,1.0
2023-11-06,SPREAD,CHI,UTA,UTA,-110.0,1.91,66.06,82.03,-17.0,243.0,4.5,0.0
2023-11-06,SPREAD,CHI,UTA,CHI,-110.0,1.91,33.94,17.97,17.0,243.0,-4.5,1.0
2023-11-06,SPREAD,HOU,SAC,SAC,-105.0,1.95,35.69,36.9,-25.0,219.0,-2.5,0.0
2023-11-06,SPREAD,HOU,SAC,HOU,-115.0,1.87,64.31,63.1,25.0,219.0,2.5,1.0
2023-11-06,SPREAD,MIN,BOS,BOS,-110.0,1.91,78.54,71.94,-5.0,223.0,-3.5,0.0
2023-11-06,SPREAD,MIN,BOS,MIN,-110.0,1.91,21.46,28.06,5.0,223.0,3.5,1.0
2023-11-06,SPREAD,OKC,ATL,ATL,-120.0,1.83,54.17,56.09,-9.0,243.0,1.5,0.0
